LINK,NAME OF EVENT,DATE
https://www.mofad.org/calendar/knights-of-the-raj-nyc-88ged,Knights of the Raj NYC ,"Saturday, July 21, 2018"
https://www.mofad.org/calendar/knights-of-the-raj-nyc-88ged-r88kz,Knights of the Raj NYC,"Sunday, July 22, 2018"
https://www.mofad.org/calendar/dinners-of-the-past-feminist-food-feminist-art-day-one,"Dinners of the Past: Feminist Food, Feminist Art (Day One)","Wednesday, July 25, 2018"
https://www.mofad.org/calendar/dinners-of-the-past-feminist-food-feminist-art-day-one-fslyr,"Dinners of the Past: Feminist Food, Feminist Art (Day Two)","Thursday, July 26, 2018"
https://www.mofad.org/calendar/knights-of-the-raj-nyc-88ged-r88kz-bexr7,Knights of the Raj NYC,"Friday, July 27, 2018"
https://www.mofad.org/calendar/knights-of-the-raj-nyc-88ged-r88kz-bexr7-pb5jc,Knights of the Raj NYC,"Saturday, July 28, 2018"
https://www.mofad.org/calendar/knights-of-the-raj-nyc-88ged-r88kz-bexr7-pb5jc-xp9g6,Knights of the Raj NYC,"Sunday, July 29, 2018"
https://www.mofad.org/calendar/proudly-inauthentic-filipino-diaspora-cooking-with-dale-talde,Proudly Inauthentic: Filipino Diaspora Cooking with Dale Talde,"Thursday, August 2, 2018"
https://www.mofad.org/calendar/knights-of-the-raj-nyc-88ged-r88kz-bexr7-pb5jc-xp9g6-8jxmh,Knights of the Raj NYC ,"Friday, August 3, 2018"
https://www.mofad.org/calendar/knights-of-the-raj-nyc-88ged-r88kz-bexr7-pb5jc-xp9g6-8jxmh-wchez,Knights of the Raj NYC,"Saturday, August 4, 2018"
https://www.mofad.org/calendar/knights-of-the-raj-nyc-88ged-r88kz-bexr7-pb5jc-xp9g6-8jxmh-wchez-97fjc,Knights of the Raj NYC ,"Sunday, August 5, 2018"
https://www.mofad.org/calendar/kids-in-the-kitchen-creative-cookie-making-with-angela-garbacz,Kids in the Kitchen: Creative Cookie Making with Angela Garbacz,"Tuesday, August 7, 2018"
https://www.mofad.org/calendar/beyond-bagels-jewish-food-and-jewish-eating-in-the-united-states,Beyond Bagels: Jewish Food and Jewish Eating in the United States,"Thursday, August 9, 2018"
https://www.mofad.org/calendar/in-the-weeds-hyperlocal-foraging-with-jaime-young-and-will-horowitz,In the Weeds: Hyperlocal Foraging with Jaime Young and Will Horowitz,"Thursday, August 16, 2018"
https://www.mofad.org/calendar/labs-lab-the-vedic-way-in-modern-day,Lab's Lab: The Vedic Way in Modern Day,"Friday, August 17, 2018"
https://www.mofad.org/calendar/dinners-of-the-past-secrets-of-the-trade-winds,Dinners of the Past: Secrets of the Trade Winds,"Wednesday, August 22, 2018"
https://www.mofad.org/calendar/dumpling-diaries-how-the-pelmeni-became-a-national-dish-of-russia,Dumpling Diaries: How the Pelmeni Became a National Dish of Russia,"Sunday, August 26, 2018"
https://www.mofad.org/calendar/seasonal-spirits-wild-and-wood-21,Seasonal Spirits: Wild and Wood (21+),"Thursday, August 30, 2018"
https://www.mofad.org/calendar/white-sauce-or-hot-sauce-an-exploration-of-nycs-halal-food-carts,White Sauce or Hot Sauce? An Exploration of NYC's Halal Food Carts,"Sunday, September 16, 2018"
https://www.mofad.org/calendar/dinners-of-the-past-shakespeares-london,Dinners of the Past: Shakespeare's London,"Thursday, September 20, 2018"
https://www.mofad.org/calendar/worth-its-salt-the-breathtaking-world-of-fish-sauce,Worth Its Salt: The Breathtaking World of Fish Sauce,"Thursday, September 27, 2018"
https://www.mofad.org/calendar/mofad-night-chinese-mid-autumn-festival-21,MOFAD @ Night: Chinese Mid-Autumn Festival (21+),"Friday, September 28, 2018"
https://www.mofad.org/calendar/regional-character-exploring-native-flora-with-marie-viljoen,Regional Character: Exploring Native Flora with Marie Viljoen,"Thursday, October 4, 2018"
https://www.mofad.org/calendar/soup-sip-with-julia-turshen-and-nik-sharma,Soup & Sip with Julia Turshen and Nik Sharma,"Wednesday, October 10, 2018"
https://www.mofad.org/calendar/celebrate-mexico-now-el-juego-de-las-transformaciones,Celebrate Mexico Now: El Juego de las Transformaciones,"Tuesday, October 16, 2018"
https://www.mofad.org/calendar/knife-wielding-girls-popular-representations-of-women-and-butchery,Knife-Wielding Girls: Popular Representations of Women and Butchery,"Sunday, October 21, 2018"
https://www.mofad.org/calendar/starting-from-scratch-back-to-the-basics-with-kate-mcdermott-and-emily-weinstein,Starting From Scratch: Back to the Basics with Kate McDermott and Emily Weinstein,"Tuesday, October 23, 2018"
https://www.mofad.org/calendar/dinners-of-the-past-from-the-presidents-table,Dinners of the Past: From the President's Table,"Thursday, October 25, 2018"
https://www.mofad.org/calendar/24-seasons-of-rice-delivering-the-japanese-countryside-to-the-world,24 Seasons of Rice: Delivering the Japanese Countryside to the World,"Tuesday, October 30, 2018"
https://www.mofad.org/calendar/polish-table-mine-yours-ours-day-one,"Polish Table: Mine, Yours, Ours (Day One)","Tuesday, November 6, 2018"
https://www.mofad.org/calendar/polish-table-mine-yours-ours-day-two,"Polish Table: Mine, Yours, Ours (Day Two)","Wednesday, November 7, 2018"
https://www.mofad.org/calendar/dinners-of-the-past-the-pride-before-the-fall,Dinners of the Past: The Pride Before the Fall,"Thursday, November 29, 2018"
https://www.mofad.org/calendar/layers-of-influence-uncovering-the-origins-of-biryani,Layers of Influence: Uncovering the Origins of Biryani,"Sunday, December 2, 2018"
https://www.mofad.org/calendar/taste-makers-a-conversation-with-paul-freedman-and-mayukh-sen,Taste Makers: A Conversation with Paul Freedman and Mayukh Sen,"Wednesday, December 12, 2018"
https://www.mofad.org/calendar/chow-x-judaism,Chow x Judaism,"Friday, December 21, 2018"
https://www.mofad.org/calendar/canceled-old-russian-new-year-a-mofad-holiday-party,(CANCELED) Old Russian New Year: A MOFAD Holiday Party,"Saturday, January 19, 2019"
https://www.mofad.org/calendar/farm-labor-to-table-a-conversation-on-agricultural-labor-and-our-food-system,Farm-Labor-to-Table: A Conversation on Agricultural Labor and Our Food System,"Thursday, January 24, 2019"
https://www.mofad.org/calendar/chow-x-mundo-latinx,Chow x Mundo Latinx,"Friday, January 25, 2019"
https://www.mofad.org/calendar/body-of-workbody-as-work-a-conversation-with-womxn-about-food-art-and-activism-as-labor,"BODY OF WORK/BODY AS WORK: A Conversation with Womxn about Food, Art, and Activism as Labor","Thursday, January 31, 2019"
https://www.mofad.org/calendar/mofad-night-the-spirit-of-peru-through-pisco-21,MOFAD @ Night: The Spirit of Peru Through Pisco (21+),"Friday, February 1, 2019"
https://www.mofad.org/calendar/zaitoun-a-conversation-with-yasmin-khan-and-kerry-diamond,ZAITOUN: A Conversation with Yasmin Khan and Kerry Diamond,"Wednesday, February 6, 2019"
https://www.mofad.org/calendar/taste-of-resilience-a-conversation-with-the-rousseau-sisters-and-julia-turshen,Taste of Resilience: A Conversation with the Rousseau Sisters and Julia Turshen,"Thursday, February 21, 2019"
https://www.mofad.org/calendar/the-geography-of-gumbo-from-one-pot-many,"The Geography of Gumbo: From One Pot, Many","Tuesday, March 5, 2019"
https://www.mofad.org/calendar/between-two-whales-how-china-and-japan-influenced-korean-cuisine,Between Two Whales: How China and Japan Influenced Korean Cuisine,"Thursday, March 21, 2019"
https://www.mofad.org/calendar/dinnerlab-nixon-in-china,DinnerLab: Nixon in China,"Thursday, April 11, 2019"
https://www.mofad.org/calendar/a-tale-of-two-cities-exploring-immigrant-foodways-in-london-and-new-york-city,A Tale of Two Cities: Exploring Immigrant Foodways in London and New York City,"Wednesday, April 17, 2019"
https://www.mofad.org/calendar/mofad-pan-african-festival-2019-in-macon-ga,"MOFAD @ Pan African Festival 2019 in Macon, GA","Saturday, April 27, 2019"
https://www.mofad.org/calendar/in-pursuit-of-flavor-celebrating-edna-lewis,In Pursuit of Flavor: Celebrating Edna Lewis,"Thursday, May 9, 2019"
https://www.mofad.org/calendar/2019-mofad-spring-gala-honoring-questlove,2019 MOFAD Spring Gala Honoring Questlove,"Wednesday, May 15, 2019"
https://www.mofad.org/calendar/not-your-grandmas-cooking-immigrant-mothers-daughters-and-authenticity,"Not Your Grandma’s Cooking: Immigrant Mothers, Daughters, and Authenticity","Thursday, May 23, 2019"
https://www.mofad.org/calendar/notes-from-a-young-black-chef-kwame-onwuachi-with-kat-kinsman,Notes from a Young Black Chef: Kwame Onwuachi with Kat Kinsman,"Thursday, May 30, 2019"
https://www.mofad.org/calendar/rediscovering-italian-with-stacy-adimando-and-katie-parla,Rediscovering Italian with Stacy Adimando and Katie Parla,"Thursday, June 13, 2019"
https://www.mofad.org/calendar/the-economics-of-being-an-immigrant-in-nycs-food-industry,The Economics of Being an Immigrant in NYC's Food Industry,"Wednesday, June 19, 2019"
https://www.mofad.org/calendar/mofad-night-grlsquash-x-this-queer-kitchen-celebrate-pride,MOFAD @ Night: GRLSQUASH x This Queer Kitchen Celebrate Pride,"Friday, June 21, 2019"
https://www.mofad.org/calendar/fresh-tofu-everyday-with-hiroko-shimbo,Fresh Tofu Everyday with Hiroko Shimbo,"Thursday, July 25, 2019"
https://www.mofad.org/calendar/the-culture-of-corn-with-oxomoco-and-tamoa,The Culture of Corn with Oxomoco and TAMOA,"Thursday, August 1, 2019"
https://www.mofad.org/calendar/a-practical-guide-to-food-writing,A Practical Guide to Food Writing,"Thursday, August 8, 2019"
